TeamA;TeamB;ScoreA;ScoreB;MatchStatus;Goalkeeper;Period;TSegment;T;Typeofattack;Locationpass;Bodypartpass;Playerwhoshoot;Jump;Drop;Movement;Dive;Technicalaction;Zonegkintervention;Zoneofthgoal;Fieldzoneshots;Bodypartshots;Goal
8;6;2;1;1;1;2;6;0:13:59;3;0;0;1;0;0;3;0;0;1;10;9;1;0
9;8;2;0;-1;2;1;3;0:10:00;3;13;1;1;1;0;2;0;0;1;10;5;3;0
9;8;2;0;-1;2;2;5;0:06:09;2;0;0;1;0;0;1;0;0;2;10;9;1;0
10;9;0;1;1;2;2;4;0:02:58;1;2;2;1;0;0;3;0;0;1;10;12;1;0
11;14;4;0;-1;2;2;5;0:07:11;1;6;1;1;0;0;8;0;0;1;10;9;1;0
12;15;0;1;1;2;1;2;0:05:56;1;2;2;1;0;0;8;0;0;1;10;16;1;0
12;15;0;2;1;2;2;4;0:00:05;3;0;0;1;1;0;3;0;0;1;10;12;2;0
13;11;0;2;-1;1;2;4;0:02:26;1;2;1;1;0;0;3;0;0;1;10;12;1;0
13;11;0;3;1;2;2;6;0:10:06;1;2;1;1;0;0;2;0;0;1;10;9;1;0
13;11;0;3;-1;1;2;6;0:10:57;2;2;1;1;1;0;3;0;0;1;10;12;1;0
13;15;0;1;1;2;1;3;0:10:09;1;12;1;1;0;0;2;0;0;1;10;5;2;0
14;13;2;0;1;1;2;5;0:06:36;1;2;1;1;1;0;4;0;0;1;10;6;2;0
16;17;0;0;0;2;1;1;0:02:11;3;14;1;1;0;0;7;0;0;1;10;8;3;0
17;18;0;0;0;2;1;1;0:00:37;1;19;1;1;0;0;2;0;0;1;10;6;2;0
17;18;0;0;0;1;1;1;0:03:43;1;3;2;1;1;0;5;0;0;1;10;12;1;0
18;16;0;0;0;1;1;1;0:02:44;3;14;2;1;1;0;3;0;0;1;10;11;3;0
19;18;0;0;0;2;1;2;0:08:08;3;18;1;1;0;0;3;0;0;1;10;8;3;0
1;4;0;0;0;2;2;5;0:05:33;1;3;1;1;0;0;1;0;0;1;10;7;2;0
2;3;0;0;0;2;1;1;0:04:00;1;6;1;1;1;0;3;0;0;1;10;12;1;0
5;3;0;0;0;2;1;2;0:08:55;2;0;0;1;0;0;6;0;0;1;10;6;2;0
16;17;0;0;0;1;2;5;0:05:08;1;1;1;1;0;0;8;0;0;1;10;9;2;0
16;19;0;0;0;1;2;4;0:03:47;1;0;0;1;0;0;2;0;0;1;10;9;1;0
4;5;1;0;1;1;1;3;0:10:01;2;0;0;1;0;0;3;0;0;2;9;6;2;0
7;8;0;0;0;1;2;5;0:08:18;3;0;0;1;0;0;2;0;0;1;9;9;2;1
16;17;0;0;0;2;1;3;0:10:23;3;0;0;1;1;0;2;0;0;1;9;12;2;0
5;2;0;0;0;2;1;1;0:02:34;3;0;0;1;0;0;3;0;0;1;7;12;2;1
15;14;2;1;1;1;2;5;0:05:05;1;2;1;1;0;0;2;0;0;1;7;6;1;1
6;9;1;0;1;1;2;5;0:07:34;1;2;1;1;0;1;3;0;0;1;6;11;1;1
8;6;0;0;0;1;1;2;0:07:24;3;0;0;1;1;0;2;0;0;1;6;6;1;1
13;15;1;1;0;2;2;4;0:01:57;2;0;0;1;0;1;2;0;0;1;6;5;2;0
2;1;0;0;0;1;1;2;0:05:16;2;15;1;1;0;0;2;0;0;2;5;5;2;1
12;15;0;0;0;1;1;2;0:05:06;2;15;1;1;0;0;2;0;0;2;5;5;2;1
13;15;1;1;0;2;2;4;0:04:32;1;5;1;1;0;0;2;0;0;1;5;5;1;1
8;6;2;1;-1;2;2;6;0:15:00;1;2;1;1;1;1;3;0;0;1;4;14;1;1
18;16;1;0;1;1;1;2;0:08:56;1;15;2;1;0;0;3;0;0;1;3;7;2;1
9;8;3;0;1;1;2;6;0:13:31;1;10;1;1;0;0;3;0;0;1;2;8;1;1
11;14;3;0;-1;2;1;3;0:14:05;1;16;1;1;0;0;3;0;0;1;2;10;1;1
1;5;0;0;0;2;1;3;0:15:00;1;2;1;1;0;1;3;0;0;2;1;11;1;1
2;1;0;1;-1;1;1;3;0:11:38;2;5;2;1;0;1;3;0;0;1;1;8;2;0
12;15;0;1;-1;1;1;3;0:11:33;2;5;2;1;0;0;3;0;0;1;1;8;2;1
12;13;2;1;1;1;1;3;0:14:18;2;2;2;1;0;1;2;0;0;1;1;6;2;1
6;10;0;0;0;1;2;4;0:01:24;3;19;2;0;0;0;1;0;1;1;1;9;1;0
4;5;1;0;1;1;2;4;0:01:50;1;2;1;1;1;0;3;1;1;2;1;12;2;0
1;5;0;0;0;2;1;1;0:00:00;1;6;3;1;0;0;1;0;1;2;14;5;4;0
1;5;1;0;-1;2;2;5;0:09:40;2;2;1;1;1;0;1;0;1;2;14;8;0;0
2;1;0;0;0;1;1;1;0:01:33;1;2;2;0;0;0;5;0;1;2;14;0;0;0
2;1;0;1;-1;1;1;2;0:08:43;1;2;1;0;0;0;5;0;1;2;14;0;0;0
2;3;0;0;0;1;1;3;0:11:12;3;19;1;0;0;0;5;0;1;2;14;0;0;0
2;3;0;0;0;2;2;5;0:06:23;3;3;4;1;0;0;1;0;1;2;14;15;1;0
3;1;0;0;0;2;1;1;0:01:35;3;19;1;0;0;0;1;0;1;2;14;0;0;0
3;1;0;0;0;2;1;1;0:02:23;1;1;2;0;1;0;4;0;1;2;14;0;0;0
3;1;0;3;1;2;1;3;0:15:04;3;19;1;0;0;0;5;0;1;2;14;0;0;0
3;1;0;3;-1;1;2;4;0:01:21;2;0;0;0;0;1;4;1;1;2;14;0;0;0
3;4;0;0;0;2;1;2;0:05:11;1;19;1;0;0;0;5;0;1;2;14;0;0;0
3;4;0;0;0;2;1;3;0:10:41;1;1;2;0;0;0;1;0;1;2;14;0;0;0
3;4;0;0;0;2;1;3;0:13:20;2;19;2;0;0;0;8;0;1;2;14;0;0;0
3;4;0;1;1;2;2;5;0:05:11;1;19;1;0;0;0;5;0;1;2;14;0;0;0
3;4;0;1;1;2;2;6;0:10:41;1;1;2;0;0;0;1;0;1;2;14;0;0;0
3;4;0;1;-1;1;2;6;0:12:16;1;2;2;1;0;0;4;0;1;2;14;5;2;0
3;4;0;1;1;2;2;6;0:13:20;2;19;2;0;0;0;8;0;1;2;14;0;0;0
4;2;0;1;-1;1;2;4;0:00:34;1;19;2;0;0;0;5;0;1;2;14;0;0;0
4;2;0;1;-1;1;2;5;0:09:28;1;14;2;0;0;0;5;0;1;2;14;0;0;0
4;2;0;1;1;2;2;6;0:13:15;3;19;1;0;1;0;5;0;1;2;14;0;0;0
5;2;1;0;-1;2;1;3;0:10:40;3;19;1;0;0;0;5;0;1;2;14;0;0;0
5;2;1;0;1;1;1;3;0:11:35;3;3;2;0;1;0;1;0;1;2;14;0;0;0
5;2;2;0;1;1;1;3;0:12:58;1;2;3;0;0;0;1;0;1;2;14;0;0;0
5;2;2;0;1;1;2;5;0:08:24;1;2;1;0;0;0;5;0;1;2;14;0;0;0
5;3;0;0;0;1;2;4;0:04:42;3;19;1;0;1;1;1;0;1;2;14;0;0;0
5;3;0;0;0;1;2;4;0:04:47;3;19;1;0;1;1;1;0;1;2;14;0;0;0
5;3;0;0;0;1;2;5;0:06:22;1;2;1;0;0;0;1;0;1;2;14;0;0;0
5;3;0;0;0;1;2;5;0:09:30;2;0;0;1;1;1;2;1;1;2;14;1;1;0
5;3;1;0;-1;2;2;6;0:15:02;3;19;1;0;0;0;8;1;1;2;14;0;0;0
6;7;1;0;1;1;2;4;0:01:52;1;2;1;1;0;0;3;0;1;2;14;12;3;0
6;7;1;0;-1;2;2;4;0:03:18;3;19;1;0;0;0;5;0;1;2;14;0;0;0
6;7;1;0;1;1;2;5;0:05:01;3;19;1;0;0;0;1;0;1;2;14;0;0;0
6;7;1;0;-1;2;2;5;0:06:55;1;2;1;0;0;0;5;0;1;2;14;0;0;0
6;7;1;0;-1;2;2;5;0:07:40;3;19;1;0;0;0;5;0;1;2;14;0;0;0
6;7;1;1;0;2;2;6;0:11:21;1;2;1;0;0;0;4;0;1;2;14;0;0;0
6;9;0;0;0;1;1;1;0:02:45;3;3;1;0;1;0;5;0;1;2;14;0;0;0
6;9;0;0;0;1;1;3;0:14:52;3;19;1;0;0;0;5;0;1;2;14;0;0;0
6;9;0;0;0;1;2;4;0:01:13;3;2;1;0;0;0;1;0;1;2;14;0;0;0
6;9;1;2;-1;1;2;6;0:14:56;1;2;1;0;0;1;5;0;1;2;14;0;0;0
6;10;0;0;0;1;1;1;0:01:52;1;19;1;0;0;0;1;0;1;1;14;9;0;0
6;10;0;0;0;2;1;2;0:07:38;3;19;1;0;0;0;1;0;1;2;14;0;0;0
6;10;0;0;0;2;1;3;0:12:21;2;12;1;1;0;1;3;0;1;1;14;15;1;0
6;10;0;0;0;1;2;4;0:00:57;2;3;1;1;0;1;2;0;1;1;14;9;2;0
7;8;0;0;0;1;2;4;0:01:12;1;1;1;1;0;0;1;0;1;2;14;12;2;0
7;8;0;0;0;1;2;4;0:01:45;1;2;2;0;0;1;4;1;1;2;14;0;0;0
7;8;0;0;0;2;2;4;0:02:24;3;19;1;0;0;0;5;0;1;2;14;0;0;0
7;8;2;1;-1;2;2;6;0:15:06;3;0;0;0;0;1;1;0;1;2;14;0;0;0
7;10;0;0;0;2;1;1;0:00:10;1;19;1;0;0;0;4;0;1;2;14;0;0;0
7;10;0;0;0;1;1;2;0:07:44;3;19;1;0;0;0;5;0;1;2;14;0;0;0
7;10;0;0;0;1;1;2;0:09:18;3;2;3;0;0;0;1;0;1;2;14;0;0;0
7;10;0;0;0;1;2;4;0:01:15;1;2;3;0;0;0;4;0;1;2;14;0;0;0
8;6;0;1;1;2;1;3;0:14:14;1;2;2;0;0;0;2;0;1;2;14;0;0;0
8;6;1;1;0;1;2;5;0:06:25;3;19;2;0;0;0;1;0;1;2;14;0;0;0
8;10;0;0;0;2;1;3;0:10:00;1;2;3;1;0;0;1;0;1;1;14;12;1;0
9;7;0;0;0;2;1;1;0:04:03;2;19;1;0;1;0;5;0;1;2;14;0;0;0
9;7;0;0;0;1;1;1;0:04:18;1;19;1;0;0;0;1;0;1;2;14;0;0;0
9;7;1;0;-1;2;1;3;0:14:02;2;19;1;0;1;0;5;0;1;2;14;0;0;0
9;7;1;0;1;1;1;3;0:16:04;1;3;1;0;0;1;4;1;1;2;14;0;0;0
9;7;1;0;-1;2;2;4;0:02:13;1;1;2;0;0;1;1;0;1;2;14;0;0;0
9;7;1;0;1;1;2;6;0:14:15;1;2;3;0;0;1;4;1;1;2;14;0;0;0
9;7;1;0;-1;2;2;6;0:14:59;1;2;1;0;0;1;4;1;1;2;14;0;0;0
9;8;2;0;-1;2;1;1;0:04:58;1;19;2;0;0;0;4;0;1;2;14;0;0;0
9;8;2;0;1;1;1;3;0:10:39;1;8;1;1;0;0;1;0;1;2;14;12;1;0
9;8;2;0;-1;2;1;3;0:11:46;1;2;1;0;0;1;4;1;1;2;14;0;0;0
9;8;2;0;1;1;1;3;0:12:21;3;1;4;1;0;0;4;0;1;2;14;6;1;0
9;8;2;0;-1;2;2;4;0:03:59;1;2;2;0;0;1;1;0;1;2;14;0;0;0
9;8;2;0;-1;2;2;5;0:09:15;1;2;3;0;0;1;4;1;1;2;14;0;0;0
9;8;2;0;-1;2;2;6;0:11:25;1;19;1;0;0;0;4;0;1;2;14;0;0;0
10;9;0;0;0;1;1;1;0:01:41;1;4;1;0;0;0;1;0;1;2;14;0;0;0
10;9;0;0;0;2;1;2;0:07:42;1;2;2;0;0;1;4;1;1;2;14;0;0;0
10;9;0;0;0;1;1;3;0:10:50;1;2;3;0;1;0;1;0;1;2;14;0;0;0
10;9;0;0;0;2;1;3;0:13:44;1;6;1;0;0;1;4;1;1;2;14;0;0;0
11;12;2;1;1;1;2;4;0:00:30;4;0;0;1;1;0;2;0;1;2;14;12;1;0
11;14;3;0;-1;2;1;3;0:11:07;2;7;1;0;1;1;5;1;1;2;14;0;0;0
11;14;4;0;-1;2;2;5;0:06:02;1;19;2;1;0;1;4;0;1;2;14;5;3;0
11;14;4;0;-1;2;2;5;0:09:14;2;2;1;0;0;0;1;0;1;2;14;0;0;0
11;14;4;1;-1;2;2;6;0:12:54;1;2;1;0;0;0;1;0;1;2;14;0;0;0
11;15;2;1;1;1;2;4;0:00:30;4;0;0;1;1;0;2;0;1;2;14;12;1;0
12;13;1;1;0;2;1;2;0:05:13;1;19;1;0;0;0;5;0;1;2;14;0;0;0
12;13;1;1;0;2;1;2;0:06:57;3;19;1;0;0;0;3;0;1;2;14;0;0;0
12;13;2;3;1;2;2;5;0:07:11;3;2;2;1;1;0;3;0;1;2;14;8;3;0
12;13;2;3;-1;1;2;5;0:08:44;1;2;2;0;0;1;4;1;1;2;14;0;0;0
12;13;2;4;1;2;2;6;0:10:53;1;2;1;1;1;0;1;0;1;2;14;9;2;0
12;15;0;0;0;1;1;1;0:01:30;1;2;2;0;0;0;5;0;1;2;14;0;0;0
12;15;0;1;-1;1;1;2;0:08:41;1;2;1;0;0;0;5;0;1;2;14;0;0;0
12;15;0;2;1;2;1;3;0:13:21;3;3;1;0;0;0;5;0;1;2;14;0;0;0
12;15;0;2;1;2;2;4;0:03:27;1;2;3;0;0;0;1;0;1;2;14;0;0;0
13;11;0;2;-1;1;1;3;0:13:06;1;3;1;0;0;0;3;0;1;2;14;0;0;0
13;11;0;2;1;2;2;4;0:01:25;2;19;2;0;0;0;2;0;1;2;14;0;0;0
13;15;0;1;1;2;1;1;0:02:44;1;1;2;0;0;0;2;0;1;2;14;0;0;0
